Benchmark                                                  (impl)       (payloadType)  (seed)  (size)        (workload)    Mode     Cnt         Score        Error  Units
FastutilMapInt2IntBench.bench                    FASTUTIL_I2I_AVL     INTEGER_UNIFORM  467505    2000       ITERATE_KEY  sample  598766      5235.764 ±      3.796  ns/op
FastutilMapInt2IntBench.bench                    FASTUTIL_I2I_AVL     INTEGER_UNIFORM  467505    2000  ITERATE_KEYVALUE  sample  601903      5207.684 ±      3.865  ns/op
FastutilMapInt2IntBench.bench                    FASTUTIL_I2I_AVL     INTEGER_UNIFORM  467505    2000              COPY  sample  272323     45988.645 ±    126.877  ns/op
FastutilMapInt2IntBench.bench                    FASTUTIL_I2I_AVL     INTEGER_UNIFORM  467505    2000          CONTAINS  sample  549454        67.291 ±      0.361  ns/op
FastutilMapInt2IntBench.bench                    FASTUTIL_I2I_AVL     INTEGER_UNIFORM  467505  200000          POPULATE  sample     917  27348773.130 ± 216027.042  ns/op
FastutilMapInt2IntBench.bench                    FASTUTIL_I2I_AVL     INTEGER_UNIFORM  467505  200000       ITERATE_KEY  sample   11486   2175116.325 ±   4964.087  ns/op
FastutilMapInt2IntBench.bench                    FASTUTIL_I2I_AVL     INTEGER_UNIFORM  467505  200000  ITERATE_KEYVALUE  sample   11457   2180431.971 ±   5207.082  ns/op
FastutilMapInt2IntBench.bench                    FASTUTIL_I2I_AVL     INTEGER_UNIFORM  467505  200000              COPY  sample    2001  12503784.076 ±  62585.569  ns/op
FastutilMapInt2IntBench.bench                    FASTUTIL_I2I_AVL     INTEGER_UNIFORM  467505  200000          CONTAINS  sample  813454       143.113 ±      1.506  ns/op
FastutilMapInt2IntBench.bench                    FASTUTIL_I2I_AVL  INTEGER_DICTIONARY  467505      20          POPULATE  sample  782756       274.632 ±      9.383  ns/op
FastutilMapInt2IntBench.bench                    FASTUTIL_I2I_AVL  INTEGER_DICTIONARY  467505      20       ITERATE_KEY  sample  913043        53.211 ±      0.187  ns/op
FastutilMapInt2IntBench.bench                    FASTUTIL_I2I_AVL  INTEGER_DICTIONARY  467505      20  ITERATE_KEYVALUE  sample  822175        52.020 ±      0.104  ns/op
FastutilMapInt2IntBench.bench                    FASTUTIL_I2I_AVL  INTEGER_DICTIONARY  467505      20              COPY  sample  910719       241.900 ±      5.710  ns/op
FastutilMapInt2IntBench.bench                    FASTUTIL_I2I_AVL  INTEGER_DICTIONARY  467505      20          CONTAINS  sample  678040        32.640 ±      1.490  ns/op
FastutilMapInt2IntBench.bench                    FASTUTIL_I2I_AVL  INTEGER_DICTIONARY  467505    2000          POPULATE  sample  268542     46549.965 ±    162.128  ns/op
FastutilMapInt2IntBench.bench                    FASTUTIL_I2I_AVL  INTEGER_DICTIONARY  467505    2000       ITERATE_KEY  sample  670909      4672.715 ±      3.158  ns/op
FastutilMapInt2IntBench.bench                    FASTUTIL_I2I_AVL  INTEGER_DICTIONARY  467505    2000  ITERATE_KEYVALUE  sample  699583      4475.054 ±      2.790  ns/op
FastutilMapInt2IntBench.bench                    FASTUTIL_I2I_AVL  INTEGER_DICTIONARY  467505    2000              COPY  sample  450610     55423.788 ±     65.996  ns/op
FastutilMapInt2IntBench.bench                    FASTUTIL_I2I_AVL  INTEGER_DICTIONARY  467505    2000          CONTAINS  sample  605548        68.932 ±      0.226  ns/op
FastutilMapInt2IntBench.bench                    FASTUTIL_I2I_AVL  INTEGER_DICTIONARY  467505  200000          POPULATE  sample    1031  24318019.538 ± 157110.072  ns/op
FastutilMapInt2IntBench.bench                    FASTUTIL_I2I_AVL  INTEGER_DICTIONARY  467505  200000       ITERATE_KEY  sample   16731   1493366.812 ±   6277.559  ns/op
FastutilMapInt2IntBench.bench                    FASTUTIL_I2I_AVL  INTEGER_DICTIONARY  467505  200000  ITERATE_KEYVALUE  sample   17038   1466449.016 ±   4375.373  ns/op
FastutilMapInt2IntBench.bench                    FASTUTIL_I2I_AVL  INTEGER_DICTIONARY  467505  200000              COPY  sample    2992   8358093.348 ±  36263.623  ns/op
FastutilMapInt2IntBench.bench                    FASTUTIL_I2I_AVL  INTEGER_DICTIONARY  467505  200000          CONTAINS  sample  893361       132.830 ±      0.332  ns/op
FastutilMapInt2IntBench.bench                     FASTUTIL_I2I_RB     INTEGER_UNIFORM  467505      20          POPULATE  sample  664549       320.781 ±     10.057  ns/op
FastutilMapInt2IntBench.bench                     FASTUTIL_I2I_RB     INTEGER_UNIFORM  467505      20       ITERATE_KEY  sample  884881        50.299 ±      0.686  ns/op
FastutilMapInt2IntBench.bench                     FASTUTIL_I2I_RB     INTEGER_UNIFORM  467505      20  ITERATE_KEYVALUE  sample  825534        49.738 ±      0.157  ns/op
FastutilMapInt2IntBench.bench                     FASTUTIL_I2I_RB     INTEGER_UNIFORM  467505      20              COPY  sample  714160       304.201 ±     12.917  ns/op
FastutilMapInt2IntBench.bench                     FASTUTIL_I2I_RB     INTEGER_UNIFORM  467505      20          CONTAINS  sample  634753        33.572 ±      1.856  ns/op
FastutilMapInt2IntBench.bench                     FASTUTIL_I2I_RB     INTEGER_UNIFORM  467505    2000          POPULATE  sample  452094     55241.451 ±     80.167  ns/op
FastutilMapInt2IntBench.bench                     FASTUTIL_I2I_RB     INTEGER_UNIFORM  467505    2000       ITERATE_KEY  sample  604096      5191.544 ±      1.953  ns/op
FastutilMapInt2IntBench.bench                     FASTUTIL_I2I_RB     INTEGER_UNIFORM  467505    2000  ITERATE_KEYVALUE  sample  596328      5255.665 ±      7.562  ns/op
FastutilMapInt2IntBench.bench                     FASTUTIL_I2I_RB     INTEGER_UNIFORM  467505    2000              COPY  sample  256156     97508.469 ±     92.887  ns/op
FastutilMapInt2IntBench.bench                     FASTUTIL_I2I_RB     INTEGER_UNIFORM  467505    2000          CONTAINS  sample  540846        65.713 ±      0.320  ns/op
FastutilMapInt2IntBench.bench                     FASTUTIL_I2I_RB     INTEGER_UNIFORM  467505  200000          POPULATE  sample     914  27432946.556 ± 272207.391  ns/op
FastutilMapInt2IntBench.bench                     FASTUTIL_I2I_RB     INTEGER_UNIFORM  467505  200000       ITERATE_KEY  sample   11283   2214168.618 ±   9170.570  ns/op
FastutilMapInt2IntBench.bench                     FASTUTIL_I2I_RB     INTEGER_UNIFORM  467505  200000  ITERATE_KEYVALUE  sample   11412   2189154.613 ±   6460.879  ns/op
FastutilMapInt2IntBench.bench                     FASTUTIL_I2I_RB     INTEGER_UNIFORM  467505  200000              COPY  sample    1307  19152707.966 ±  98766.676  ns/op
FastutilMapInt2IntBench.bench                     FASTUTIL_I2I_RB     INTEGER_UNIFORM  467505  200000          CONTAINS  sample  802993       144.409 ±      0.528  ns/op
FastutilMapInt2IntBench.bench                     FASTUTIL_I2I_RB  INTEGER_DICTIONARY  467505      20          POPULATE  sample  669471       320.800 ±     14.148  ns/op
FastutilMapInt2IntBench.bench                     FASTUTIL_I2I_RB  INTEGER_DICTIONARY  467505      20       ITERATE_KEY  sample  873327        52.836 ±      0.176  ns/op
FastutilMapInt2IntBench.bench                     FASTUTIL_I2I_RB  INTEGER_DICTIONARY  467505      20  ITERATE_KEYVALUE  sample  803453        53.322 ±      1.342  ns/op
FastutilMapInt2IntBench.bench                     FASTUTIL_I2I_RB  INTEGER_DICTIONARY  467505      20              COPY  sample  717981       297.620 ±     11.455  ns/op
FastutilMapInt2IntBench.bench                     FASTUTIL_I2I_RB  INTEGER_DICTIONARY  467505      20          CONTAINS  sample  612777        33.828 ±      0.185  ns/op
FastutilMapInt2IntBench.bench                     FASTUTIL_I2I_RB  INTEGER_DICTIONARY  467505    2000          POPULATE  sample  446470     55934.811 ±     82.783  ns/op
FastutilMapInt2IntBench.bench                     FASTUTIL_I2I_RB  INTEGER_DICTIONARY  467505    2000       ITERATE_KEY  sample  709938      4420.069 ±      4.084  ns/op
FastutilMapInt2IntBench.bench                     FASTUTIL_I2I_RB  INTEGER_DICTIONARY  467505    2000  ITERATE_KEYVALUE  sample  603562      5193.567 ±      3.430  ns/op
FastutilMapInt2IntBench.bench                     FASTUTIL_I2I_RB  INTEGER_DICTIONARY  467505    2000              COPY  sample  264324     94492.020 ±     99.574  ns/op
FastutilMapInt2IntBench.bench                     FASTUTIL_I2I_RB  INTEGER_DICTIONARY  467505    2000          CONTAINS  sample  565815        65.308 ±      0.708  ns/op
FastutilMapInt2IntBench.bench                     FASTUTIL_I2I_RB  INTEGER_DICTIONARY  467505  200000          POPULATE  sample    1007  24885229.696 ± 242873.660  ns/op
FastutilMapInt2IntBench.bench                     FASTUTIL_I2I_RB  INTEGER_DICTIONARY  467505  200000       ITERATE_KEY  sample   16712   1495058.382 ±   5022.333  ns/op
FastutilMapInt2IntBench.bench                     FASTUTIL_I2I_RB  INTEGER_DICTIONARY  467505  200000  ITERATE_KEYVALUE  sample   16894   1478897.241 ±   5837.277  ns/op
FastutilMapInt2IntBench.bench                     FASTUTIL_I2I_RB  INTEGER_DICTIONARY  467505  200000              COPY  sample    1947  12845367.355 ±  89790.716  ns/op
FastutilMapInt2IntBench.bench                     FASTUTIL_I2I_RB  INTEGER_DICTIONARY  467505  200000          CONTAINS  sample  903029       131.104 ±      0.294  ns/op
GDXMapInt2IntBench.bench                             GDX_I2I_HASH     INTEGER_UNIFORM  467505      20          POPULATE  sample  790773        44.803 ±      0.262  ns/op
GDXMapInt2IntBench.bench                             GDX_I2I_HASH     INTEGER_UNIFORM  467505      20       ITERATE_KEY  sample  619428        32.514 ±      0.503  ns/op
GDXMapInt2IntBench.bench                             GDX_I2I_HASH     INTEGER_UNIFORM  467505      20  ITERATE_KEYVALUE  sample  859583        44.231 ±      0.269  ns/op
GDXMapInt2IntBench.bench                             GDX_I2I_HASH     INTEGER_UNIFORM  467505      20              COPY  sample  612198        55.334 ±      4.179  ns/op
GDXMapInt2IntBench.bench                             GDX_I2I_HASH     INTEGER_UNIFORM  467505      20          CONTAINS  sample  676055        25.341 ±      0.347  ns/op
GDXMapInt2IntBench.bench                             GDX_I2I_HASH     INTEGER_UNIFORM  467505    2000          POPULATE  sample  541245     11707.816 ±     75.214  ns/op
GDXMapInt2IntBench.bench                             GDX_I2I_HASH     INTEGER_UNIFORM  467505    2000       ITERATE_KEY  sample  924582      1698.339 ±      1.254  ns/op
GDXMapInt2IntBench.bench                             GDX_I2I_HASH     INTEGER_UNIFORM  467505    2000  ITERATE_KEYVALUE  sample  480681      3259.487 ±      3.021  ns/op
GDXMapInt2IntBench.bench                             GDX_I2I_HASH     INTEGER_UNIFORM  467505    2000              COPY  sample  642365      4892.573 ±     31.858  ns/op
GDXMapInt2IntBench.bench                             GDX_I2I_HASH     INTEGER_UNIFORM  467505    2000          CONTAINS  sample  891429        23.276 ±      0.086  ns/op
GDXMapInt2IntBench.bench                             GDX_I2I_HASH     INTEGER_UNIFORM  467505  200000          POPULATE  sample    4318   5789437.036 ±  48470.823  ns/op
GDXMapInt2IntBench.bench                             GDX_I2I_HASH     INTEGER_UNIFORM  467505  200000       ITERATE_KEY  sample   18851   1325230.804 ±   1242.786  ns/op
GDXMapInt2IntBench.bench                             GDX_I2I_HASH     INTEGER_UNIFORM  467505  200000  ITERATE_KEYVALUE  sample   18128   1378193.398 ±   2365.683  ns/op
GDXMapInt2IntBench.bench                             GDX_I2I_HASH     INTEGER_UNIFORM  467505  200000              COPY  sample   12797   1952807.129 ±   6752.912  ns/op
GDXMapInt2IntBench.bench                             GDX_I2I_HASH     INTEGER_UNIFORM  467505  200000          CONTAINS  sample  717381        33.925 ±      0.169  ns/op
